Election,Election Date,Precinct Code,Precinct Description,Political Party,Voter Count
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0101,PHILA WD 01 DIV 01,INDEPENDENT,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0101,PHILA WD 01 DIV 01,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0101,PHILA WD 01 DIV 01,DEMOCRATIC,157
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0101,PHILA WD 01 DIV 01,REPUBLICAN,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0102,PHILA WD 01 DIV 02,DEMOCRATIC,187
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0102,PHILA WD 01 DIV 02,UNAFFILIATED,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0102,PHILA WD 01 DIV 02,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0102,PHILA WD 01 DIV 02,REPUBLICAN,11
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0103,PHILA WD 01 DIV 03,DEMOCRATIC,245
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0103,PHILA WD 01 DIV 03,REPUBLICAN,17
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0103,PHILA WD 01 DIV 03,NO AFFILIATION,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0103,PHILA WD 01 DIV 03,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0104,PHILA WD 01 DIV 04,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0104,PHILA WD 01 DIV 04,REPUBLICAN,24
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0104,PHILA WD 01 DIV 04,DEMOCRATIC,170
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0105,PHILA WD 01 DIV 05,DEMOCRATIC,98
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0105,PHILA WD 01 DIV 05,REPUBLICAN,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0105,PHILA WD 01 DIV 05,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0105,PHILA WD 01 DIV 05,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,REPUBLICAN,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,DEMOCRATIC,92
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,NONE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,OTHER,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0107,PHILA WD 01 DIV 07,DEMOCRATIC,75
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0107,PHILA WD 01 DIV 07,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0107,PHILA WD 01 DIV 07,NO AFFILIATION,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0108,PHILA WD 01 DIV 08,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0108,PHILA WD 01 DIV 08,REPUBLICAN,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0108,PHILA WD 01 DIV 08,DEMOCRATIC,100
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0108,PHILA WD 01 DIV 08,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0109,PHILA WD 01 DIV 09,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0109,PHILA WD 01 DIV 09,REPUBLICAN,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0109,PHILA WD 01 DIV 09,DEMOCRATIC,175
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0110,PHILA WD 01 DIV 10,CONSERVATIVE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0110,PHILA WD 01 DIV 10,DEMOCRATIC,150
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0110,PHILA WD 01 DIV 10,REPUBLICAN,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0110,PHILA WD 01 DIV 10,NO AFFILIATION,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,REPUBLICAN,17
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,NO AFFILIATION,13
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,DEMOCRATIC,251
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,NO AFFILIATION,11
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,DEMOCRATIC,87
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,DEMOCRATIC,127
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0114,PHILA WD 01 DIV 14,DEMOCRATIC,128
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0114,PHILA WD 01 DIV 14,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0114,PHILA WD 01 DIV 14,INDEPENDENT,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0114,PHILA WD 01 DIV 14,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0114,PHILA WD 01 DIV 14,REPUBLICAN,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0114,PHILA WD 01 DIV 14,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0115,PHILA WD 01 DIV 15,INDEPENDENT,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0115,PHILA WD 01 DIV 15,REPUBLICAN,12
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0115,PHILA WD 01 DIV 15,NO AFFILIATION,9
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0115,PHILA WD 01 DIV 15,DEMOCRATIC,231
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0116,PHILA WD 01 DIV 16,DEMOCRATIC,100
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0116,PHILA WD 01 DIV 16,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0116,PHILA WD 01 DIV 16,NO AFFILIATION,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0116,PHILA WD 01 DIV 16,INDEPENDENT,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0116,PHILA WD 01 DIV 16,REPUBLICAN,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0117,PHILA WD 01 DIV 17,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0117,PHILA WD 01 DIV 17,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0117,PHILA WD 01 DIV 17,REPUBLICAN,18
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0117,PHILA WD 01 DIV 17,DEMOCRATIC,195
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0118,PHILA WD 01 DIV 18,DEMOCRATIC,217
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0118,PHILA WD 01 DIV 18,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0118,PHILA WD 01 DIV 18,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0118,PHILA WD 01 DIV 18,REPUBLICAN,16
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0119,PHILA WD 01 DIV 19,DEMOCRATIC,231
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0119,PHILA WD 01 DIV 19,REPUBLICAN,14
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0119,PHILA WD 01 DIV 19,INDEPENDENT,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0119,PHILA WD 01 DIV 19,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0119,PHILA WD 01 DIV 19,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0120,PHILA WD 01 DIV 20,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0120,PHILA WD 01 DIV 20,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0120,PHILA WD 01 DIV 20,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0120,PHILA WD 01 DIV 20,DEMOCRATIC,234
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0120,PHILA WD 01 DIV 20,REPUBLICAN,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0120,PHILA WD 01 DIV 20,INDEPENDENCE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0120,PHILA WD 01 DIV 20,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0121,PHILA WD 01 DIV 21,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0121,PHILA WD 01 DIV 21,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0121,PHILA WD 01 DIV 21,DEMOCRATIC,220
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0121,PHILA WD 01 DIV 21,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0121,PHILA WD 01 DIV 21,REPUBLICAN,16
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0201,PHILA WD 02 DIV 01,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0201,PHILA WD 02 DIV 01,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0201,PHILA WD 02 DIV 01,NO AFFILIATION,9
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0201,PHILA WD 02 DIV 01,DEMOCRATIC,244
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0201,PHILA WD 02 DIV 01,REPUBLICAN,25
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0202,PHILA WD 02 DIV 02,REPUBLICAN,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0202,PHILA WD 02 DIV 02,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0202,PHILA WD 02 DIV 02,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0202,PHILA WD 02 DIV 02,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0202,PHILA WD 02 DIV 02,DEMOCRATIC,132
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0203,PHILA WD 02 DIV 03,REPUBLICAN,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0203,PHILA WD 02 DIV 03,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0203,PHILA WD 02 DIV 03,DEMOCRATIC,118
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0204,PHILA WD 02 DIV 04,DEMOCRATIC,156
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0204,PHILA WD 02 DIV 04,NO AFFILIATION,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0204,PHILA WD 02 DIV 04,INDEPENDENT,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0204,PHILA WD 02 DIV 04,REPUBLICAN,15
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0205,PHILA WD 02 DIV 05,NO AFFILIATION,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0205,PHILA WD 02 DIV 05,DEMOCRATIC,177
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0205,PHILA WD 02 DIV 05,REPUBLICAN,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0206,PHILA WD 02 DIV 06,DEMOCRATIC,211
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0206,PHILA WD 02 DIV 06,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0206,PHILA WD 02 DIV 06,REPUBLICAN,9
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0206,PHILA WD 02 DIV 06,NO AFFILIATION,9
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0207,PHILA WD 02 DIV 07,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0207,PHILA WD 02 DIV 07,DEMOCRATIC,194
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0207,PHILA WD 02 DIV 07,REPUBLICAN,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0207,PHILA WD 02 DIV 07,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0208,PHILA WD 02 DIV 08,DEMOCRATIC,126
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0208,PHILA WD 02 DIV 08,REPUBLICAN,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0208,PHILA WD 02 DIV 08,LIBERTARIAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0208,PHILA WD 02 DIV 08,NO AFFILIATION,9
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0209,PHILA WD 02 DIV 09,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0209,PHILA WD 02 DIV 09,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0209,PHILA WD 02 DIV 09,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0209,PHILA WD 02 DIV 09,DEMOCRATIC,162
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0210,PHILA WD 02 DIV 10,REPUBLICAN,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0210,PHILA WD 02 DIV 10,DEMOCRATIC,177
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0210,PHILA WD 02 DIV 10,NO AFFILIATION,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0211,PHILA WD 02 DIV 11,DEMOCRATIC,143
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0211,PHILA WD 02 DIV 11,OTHER,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0211,PHILA WD 02 DIV 11,INDEPENDENCE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0211,PHILA WD 02 DIV 11,REPUBLICAN,20
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0211,PHILA WD 02 DIV 11,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0212,PHILA WD 02 DIV 12,NON-PARTISAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0212,PHILA WD 02 DIV 12,REPUBLICAN,9
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0212,PHILA WD 02 DIV 12,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0212,PHILA WD 02 DIV 12,DEMOCRATIC,168
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0213,PHILA WD 02 DIV 13,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0213,PHILA WD 02 DIV 13,CONSUMER'S,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0213,PHILA WD 02 DIV 13,DEMOCRATIC,64
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0213,PHILA WD 02 DIV 13,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0213,PHILA WD 02 DIV 13,NO AFFILIATION,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0214,PHILA WD 02 DIV 14,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0214,PHILA WD 02 DIV 14,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0214,PHILA WD 02 DIV 14,REPUBLICAN,12
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0214,PHILA WD 02 DIV 14,DEMOCRATIC,223
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0215,PHILA WD 02 DIV 15,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0215,PHILA WD 02 DIV 15,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0215,PHILA WD 02 DIV 15,REPUBLICAN,20
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0215,PHILA WD 02 DIV 15,DEMOCRATIC,235
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0215,PHILA WD 02 DIV 15,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0215,PHILA WD 02 DIV 15,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0216,PHILA WD 02 DIV 16,DEMOCRATIC,279
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0216,PHILA WD 02 DIV 16,NON-PARTISAN,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0216,PHILA WD 02 DIV 16,LIBERTARIAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0216,PHILA WD 02 DIV 16,NO AFFILIATION,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0216,PHILA WD 02 DIV 16,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0216,PHILA WD 02 DIV 16,REPUBLICAN,12
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0216,PHILA WD 02 DIV 16,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0217,PHILA WD 02 DIV 17,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0217,PHILA WD 02 DIV 17,DEMOCRATIC,181
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0217,PHILA WD 02 DIV 17,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0217,PHILA WD 02 DIV 17,REPUBLICAN,14
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0217,PHILA WD 02 DIV 17,NON-PARTISAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0217,PHILA WD 02 DIV 17,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0218,PHILA WD 02 DIV 18,DEMOCRATIC,170
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0218,PHILA WD 02 DIV 18,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0218,PHILA WD 02 DIV 18,REPUBLICAN,11
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0218,PHILA WD 02 DIV 18,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0219,PHILA WD 02 DIV 19,NO PARTY,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0219,PHILA WD 02 DIV 19,OTHER,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0219,PHILA WD 02 DIV 19,REPUBLICAN,12
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0219,PHILA WD 02 DIV 19,NO AFFILIATION,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0219,PHILA WD 02 DIV 19,DEMOCRATIC,196
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0219,PHILA WD 02 DIV 19,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0220,PHILA WD 02 DIV 20,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0220,PHILA WD 02 DIV 20,DEMOCRATIC,98
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0220,PHILA WD 02 DIV 20,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0220,PHILA WD 02 DIV 20,REPUBLICAN,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0221,PHILA WD 02 DIV 21,DEMOCRATIC,137
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0221,PHILA WD 02 DIV 21,REPUBLICAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0221,PHILA WD 02 DIV 21,NO AFFILIATION,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0222,PHILA WD 02 DIV 22,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0222,PHILA WD 02 DIV 22,NON-PARTISAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0222,PHILA WD 02 DIV 22,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0222,PHILA WD 02 DIV 22,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0222,PHILA WD 02 DIV 22,DEMOCRATIC,232
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0222,PHILA WD 02 DIV 22,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0222,PHILA WD 02 DIV 22,REPUBLICAN,11
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0222,PHILA WD 02 DIV 22,CONSUMER'S,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0223,PHILA WD 02 DIV 23,DEMOCRATIC,240
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0223,PHILA WD 02 DIV 23,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0223,PHILA WD 02 DIV 23,REPUBLICAN,11
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0223,PHILA WD 02 DIV 23,INDEPENDENCE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0223,PHILA WD 02 DIV 23,NO AFFILIATION,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0224,PHILA WD 02 DIV 24,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0224,PHILA WD 02 DIV 24,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0224,PHILA WD 02 DIV 24,REPUBLICAN,27
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0224,PHILA WD 02 DIV 24,DEMOCRATIC,215
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0225,PHILA WD 02 DIV 25,NO AFFILIATION,13
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0225,PHILA WD 02 DIV 25,REPUBLICAN,14
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0225,PHILA WD 02 DIV 25,DEMOCRATIC,189
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0225,PHILA WD 02 DIV 25,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0226,PHILA WD 02 DIV 26,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0226,PHILA WD 02 DIV 26,DEMOCRATIC,261
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0226,PHILA WD 02 DIV 26,OTHER,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0226,PHILA WD 02 DIV 26,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0226,PHILA WD 02 DIV 26,NO AFFILIATION,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0226,PHILA WD 02 DIV 26,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0226,PHILA WD 02 DIV 26,REPUBLICAN,16
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0227,PHILA WD 02 DIV 27,DEMOCRATIC,266
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0227,PHILA WD 02 DIV 27,REPUBLICAN,19
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0227,PHILA WD 02 DIV 27,NO AFFILIATION,7
